67;Tianjin World Financial Center;Tianjin (CN);336.9;1105;75;2011
68;Wilshire Grand Center;Los Angeles (US);335.3;1100;73;2017
69;DAMAC Heights;Dubai (AE);335.1;1099;88;2018
70;Shimao International Plaza;Shanghai (CN);333.3;1094;60;2006
71;Rose Rayhaan by Rotana;Dubai (AE);333;1093;71;2007
72;Minsheng Bank Building;Wuhan (CN);331;1086;68;2008
73;China World Tower;Beijing (CN);330;1083;74;2010
74;Yuexiu Fortune Center Tower 1;Wuhan (CN);330;1083;68;2017
75;Hon Kwok City Center;Shenzhen (CN);329.4;1081;80;2017
76;3 World Trade Center;New York City (US);328.9;1079;69;2018
77;Zhuhai St. Regis Hotel & Office Tower;Zhuhai (CN);328.8;1079;66;2017
78;Keangnam Hanoi Landmark Tower;Hanoi (VN);328.6;1078;72;2012
79;Longxi International Hotel;Wuxi (CN);328;1076;72;2011
80;Al Yaqoub Tower;Dubai (AE);328;1076;69;2013
81;Wuxi Suning Plaza 1;Wuxi (CN);328;1076;67;2014
82;Baoneng Center;Shenzhen (CN);327.3;1074;65;2018
83;Salesforce Tower;San Francisco (US);326.1;1070;61;2018
84;The Index;Dubai (AE);326;1070;80;2010
85;The Landmark;Abu Dhabi (AE);324;1063;72;2013
86;Deji Plaza;Nanjing (CN);324;1063;62;2013
87;Yantai Shimao No. 1 The Harbour;Yantai (CN);323;1060;59;2017
88;Q1 Tower;Gold Coast (AU);322.5;1058;78;2005
89;Wenzhou Trade Center;Wenzhou (CN);321.9;1056;68;2011
90;Guangxi Finance Plaza;Nanning (CN);321;1053;68;2017
91;Burj Al Arab;Dubai (AE);321;1053;56;1999
92;Nina Tower;Hong Kong (CN);320.4;1051;80;2006
93;Sinar Mas Center 1;Shanghai (CN);320;1050;65;2017
94;Chrysler Building;New York City (US);318.9;1046;77;1930
95;Global City Square;Guangzhou (CN);318.9;1046;67;2016
96;New York Times Tower;New York City (US);318.8;1046;52;2007
97;Jiuzhou International Tower;Nanning (CN);318;1043;71;2017
98;Fanya International Finance Building North;Kunming (CN);317.8;1043;67;2016
99;Fanya International Finance Building South;Kunming (CN);317.8;1043;66;2016
100;Blue Tower;Dubai (AE);317.6;1042;72;2010
